symbol,date,strategy,side,entry_time,entry,stop,target,exit_time,exit,outcome,pnl_pct,risk_pct,r_multiple
CRM,2026-06-18,orb,1,10:35:00,153.190002,151.4950025,156.58000099999998,11:40:00,151.4950025,stop,-0.011664687498339443,0.011064687498339444,-1.054226565376568
ORCL,2026-05-29,orb,1,09:45:00,217.149994,212.5799945,226.28999299999998,15:55:00,226.28999299999998,target,0.04149071725785995,0.021045358628929985,1.9714901508413722
ORCL,2026-06-01,orb,1,10:20:00,233.75,229.175003,242.899994,11:35:00,242.899994,target,0.038544359358288746,0.019572179679144368,1.9693442421929461
ORCL,2026-06-02,orb,1,10:10:00,248.287506,244.68875100000002,255.48501599999997,10:15:00,244.68875100000002,stop,-0.015094305645810446,0.014494305645810397,-1.0413955669669128
ORCL,2026-06-11,orb,1,09:50:00,179.809998,177.54499850000002,184.33999699999998,10:10:00,177.54499850000002,stop,-0.013196627135271876,0.012596627135271907,-1.0476317980644123
ADBE,2026-06-01,orb,1,11:05:00,272.369995,267.3349915,282.44000200000005,15:55:00,274.040009,eod,0.005531416935261092,0.018485896363143878,0.29922362576311495
ADBE,2026-06-12,orb,1,10:30:00,205.0,200.949997,213.100006,13:55:00,200.949997,stop,-0.020356112195121966,0.01975611219512197,-1.0303703478738162
UBER,2026-06-15,orb,1,09:45:00,71.75,71.10499949999999,73.04000100000002,11:30:00,73.04000100000002,target,0.01737910801393754,0.008989554006968766,1.9332558656931291
UBER,2026-06-18,orb,1,10:15:00,71.970001,71.375,73.16000299999999,15:55:00,71.629997,eod,-0.00532424614805822,0.008267347391033054,-0.6440090026739427
ABNB,2026-06-15,orb,1,09:50:00,138.5,136.401947,142.696106,15:55:00,138.949997,eod,0.0026490758122742937,0.015148397111913308,0.17487499124187564
ABNB,2026-06-18,orb,1,09:45:00,141.491592,140.81579549999998,142.84318500000003,10:10:00,142.84318500000003,target,0.008952461604927176,0.004776230802463643,1.8743779300425303
SHOP,2026-06-24,orb,1,10:25:00,111.5,109.1100005,116.279999,15:55:00,114.120003,eod,0.022897784753363282,0.02143497309417042,1.068244156536436
PYPL,2026-06-22,orb,1,09:45:00,43.110001,42.8099995,43.710003999999984,10:25:00,42.8099995,stop,-0.007558976874066769,0.006958976874066725,-1.0862195709021538
PYPL,2026-06-24,orb,1,10:20:00,42.665001,42.1725005,43.65000199999999,15:55:00,42.459999,eod,-0.005404921954648322,0.011543431113478669,-0.4682249065736853
