component,kind,avg_week,median_week,pct_pos_weeks,best_week,worst_week,n_weeks,cagr,max_dd
swing:rsi_reversion:VNQ,swing,0.00033608994440937137,0.0,0.11542610571736785,0.08793761638027431,-0.10148916947462017,927,0.01488491674637804,-0.18850153916563894
swing:rsi_reversion:EEM,swing,0.00029215071556867395,0.0,0.09272183449651047,0.0589681977608969,-0.07039777416964377,1003,0.013672216835531659,-0.19601842023969462
swing:double_low:EEM,swing,0.00028153724549377743,0.0,0.1744765702891326,0.07169544176394038,-0.0694333901452242,1003,0.010821885558834232,-0.3438494965439718
swing:bollinger_reversion:SPY,swing,0.00027891881133935395,0.0,0.08913467794404685,0.05173915900447157,-0.07439975863916226,1537,0.013481831922977028,-0.190010265978229
swing:donchian_breakout:IWM,swing,0.00027760339091118354,0.0,0.3061578490893322,0.0812089156611926,-0.10177772735599788,1153,0.006454952463141428,-0.38354719519204417
swing:turn_of_month:GLD,swing,0.0002693256140355223,0.0,0.2858695652173913,0.06033501612970005,-0.10120861754467347,920,0.00959433480736438,-0.44376982449005375
swing:turn_of_month:TLT,swing,0.0002594960169370114,0.0,0.23846153846153847,0.0608177299885011,-0.04450531751731124,1040,0.011010261181446657,-0.2427630927392216
swing:rsi_reversion:GOLD,swing,0.0002587254312169334,0.0,0.0984182776801406,0.06329416198623683,-0.07606463513190465,1138,0.011669306911543664,-0.16725961788768773
swing:donchian_breakout:GLD,swing,0.00024788266540657646,0.0,0.24239130434782608,0.08713710322050372,-0.0905744444828731,920,0.00679146897371985,-0.4382469831716638
swing:ma_cross:DBC,swing,0.00023999262541758858,0.0,0.41939252336448596,0.15083103941722853,-0.10344827074772722,856,0.0012840359843551141,-0.5141357959008483
swing:ma_cross:SHY,swing,0.00023524969280686164,0.0,0.44711538461538464,0.009910851601865556,-0.007803719689073896,1040,0.01230018013855072,-0.04491113513995337
swing:bollinger_reversion:EEM,swing,0.00023405841559613096,0.0,0.09371884346959122,0.0589681977608969,-0.07039777416964377,1003,0.010211983474892383,-0.26250109198659366
swing:donchian_breakout:IEF,swing,0.00023011121110718275,0.0,0.31634615384615383,0.03394896546268944,-0.035858962012162765,1040,0.010723953489654603,-0.21069252700798735
swing:bollinger_reversion:GLD,swing,0.00022981389348131922,0.0,0.09891304347826087,0.04803837274965961,-0.09220017094927102,920,0.010276913218341566,-0.17125153006049332
swing:tsmom:EEM,swing,0.00021318618950496023,0.0,0.3589232303090728,0.09849173046599402,-0.11912924172592343,1003,-0.0015136620528650724,-0.5380342816272435
swing:tsmom:SHY,swing,0.0002084886824699192,0.0,0.47115384615384615,0.012049322799711382,-0.009404121144119482,1040,0.010869582731309002,-0.0789607155540184
swing:macd_momentum:IWM,swing,0.00019938520231937518,0.0,0.3425845620121422,0.18256513630734927,-0.09838027787745451,1153,-0.0004292238547772831,-0.49353627728893423
swing:donchian_breakout:DBC,swing,0.00019720894596152535,0.0,0.2605140186915888,0.15083103941722853,-0.10152637850368529,856,0.0029604372229485865,-0.38918309640626525
swing:bollinger_reversion:GOLD,swing,0.00018083745220098403,0.0,0.08084358523725835,0.05620296751527709,-0.07606463513190465,1138,0.007994340560435687,-0.1650260029717684
swing:rsi_reversion:EFA,swing,0.00017727024323154297,0.0,0.08639705882352941,0.05685726655811285,-0.04561015189831841,1088,0.008001014120385008,-0.12579974508537595
swing:donchian_breakout:SHY,swing,0.00012762345896971832,0.0,0.36153846153846153,0.009910851601865556,-0.008949676570030984,1040,0.006620564433164944,-0.07845649265940757
swing:turn_of_month:DBC,swing,9.881973359256428e-05,0.0,0.272196261682243,0.15083103941722853,-0.07876651286365133,856,-0.001430414361684007,-0.47155981368601785
swing:double_low:VNQ,swing,7.437376735243287e-05,0.0,0.19093851132686085,0.07526895823110591,-0.10148916947462017,927,0.00022834483235345537,-0.41456338159429407
swing:turn_of_month:IEF,swing,5.8422709733272435e-05,0.0,0.25096153846153846,0.030175080333777693,-0.02827406173205893,1040,0.002385292243815007,-0.17075499883467626
swing:donchian_breakout:EFA,swing,4.9439787056227766e-05,0.0,0.3226102941176471,0.08347081411771407,-0.08686044664776293,1088,-0.004457082424147107,-0.44093750388811426
swing:rsi_reversion:SLV,swing,4.485446580876397e-05,0.0,0.0650887573964497,0.09896732502915495,-0.15122136354611282,845,-0.0021128604931645034,-0.42874472360490645
swing:bollinger_reversion:TLT,swing,3.4030219388742495e-05,0.0,0.08173076923076923,0.103393125590302,-0.04469452828939968,1040,0.00043715436940550134,-0.207717813522323
swing:bollinger_reversion:IEF,swing,9.43849869486155e-06,0.0,0.0673076923076923,0.014886472163011533,-0.013915894833838927,1040,0.0003806536622548151,-0.05712959135563089
swing:rsi_reversion:IEF,swing,-1.1536315495001944e-06,0.0,0.09903846153846153,0.024542727157873978,-0.0207547485386248,1040,-0.00027035828337507173,-0.0702222135024001
swing:macd_momentum:VNQ,swing,-2.8107675832081694e-06,0.0,0.34735706580366776,0.22284207923483002,-0.2619580231515303,927,-0.016814061042079165,-0.4483882467518875
swing:double_low:TLT,swing,-9.29912004986482e-06,0.0,0.15865384615384615,0.07338299820887628,-0.057830460932234984,1040,-0.0025346978443056,-0.22919907229690006
swing:double_low:IEF,swing,-1.716838732597673e-05,0.0,0.17211538461538461,0.03222890199903872,-0.025572695021613412,1040,-0.0013329963111540222,-0.15702684081361884
swing:bollinger_reversion:SLV,swing,-4.933228849346438e-05,0.0,0.0485207100591716,0.09896732502915495,-0.11436712648812197,845,-0.006455620820433827,-0.45026515784628973
swing:double_low:DBC,swing,-5.0203733366674856e-05,0.0,0.14369158878504673,0.05971040890440804,-0.08468644758649901,856,-0.005054992221604548,-0.278186159394862
swing:macd_momentum:IEF,swing,-5.125985212092999e-05,0.0,0.3403846153846154,0.03394896546268944,-0.028019225862955466,1040,-0.00407331384507148,-0.2588991808807185
swing:donchian_breakout:EEM,swing,-6.273039298225368e-05,0.0,0.2691924227318046,0.08594014879140643,-0.07826283589243888,1003,-0.011360859795072509,-0.42441138720284954
swing:rsi_reversion:SHY,swing,-6.732074422381696e-05,0.0,0.12115384615384615,0.004311493251462073,-0.009404121144119482,1040,-0.0035306722851576877,-0.07460932488033856
swing:tsmom:IEF,swing,-7.913777376356632e-05,0.0,0.35192307692307695,0.03394896546268944,-0.02800178302943157,1040,-0.00558461623894313,-0.3693197591542059
swing:bollinger_reversion:SHY,swing,-8.017144703855173e-05,0.0,0.04519230769230769,0.003998987320915415,-0.0053600795352524155,1040,-0.004192839318113761,-0.08679455306365436
swing:tsmom:TLT,swing,-0.00012099862199985616,0.0,0.3326923076923077,0.08801250097526592,-0.07693238258837132,1040,-0.013131242182339409,-0.5756578678081489
swing:rsi_reversion:DBC,swing,-0.0001598414665676914,0.0,0.07009345794392523,0.04354718843208194,-0.04255664537118686,856,-0.009355683878884524,-0.25722177995008455
swing:bollinger_reversion:DBC,swing,-0.00016036569941912043,0.0,0.052570093457943924,0.04644465372968232,-0.0689240428796013,856,-0.009596471489743297,-0.24155124052696475
swing:rsi_reversion:TLT,swing,-0.00016886790529166407,0.0,0.1,0.03918256266139952,-0.04619912134637183,1040,-0.00986485386921665,-0.3022093624467018
